Learner g,Learner m,Score,Approach,DGP,level,Tuned,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,False,0.85,0.03536060813686728,0.010137837243259291,1.759385900869758,0.9829393756223068,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,True,0.43,0.03545698050140429,0.019649649061510455,1.7952996538071346,1.0074865255650423,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,False,0.88,0.042134763412439845,0.010137837243259291,1.759385900869758,0.9829393756223068,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,True,0.6,0.04224959816764391,0.019649649061510455,1.7952996538071346,1.0074865255650423,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,False,0.0,0.06858490422345778,0.13496018593341227,1.9519737434421347,1.065153140737538,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,True,0.02,0.06394880355115651,0.06224369604076415,1.9303888300716567,1.0663837612950566,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,False,0.0,0.08172395400935707,0.13496018593341227,1.9519737434421347,1.065153140737538,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,True,0.11,0.07619969932947211,0.06224369604076415,1.9303888300716567,1.0663837612950566,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,False,0.13,0.04499659790967875,0.037967155486427345,1.7597864638844198,1.000259350721019,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,True,0.05,0.04578777654320108,0.05361966770305959,1.7958356986277106,0.9953445685695448,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,False,0.19,0.053616753420942846,0.037967155486427345,1.7597864638844198,1.000259350721019,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,True,0.06,0.05455950091022274,0.05361966770305959,1.7958356986277106,0.9953445685695448,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.9,False,0.38,0.07033182725843065,0.0414062764743804,1.9511557372062653,1.292533000356088,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.9,True,0.75,0.07270339833567722,0.024516389764608012,1.9331219261429609,1.2700435982351912,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.95,False,0.5,0.08380554119511537,0.0414062764743804,1.9511557372062653,1.292533000356088,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.95,True,0.85,0.08663144243156458,0.024516389764608012,1.9331219261429609,1.2700435982351912,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.9,False,0.9,0.04138210865225103,0.010006694800155022,1.6707591787769969,1.477648072202423,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.9,True,0.85,0.041322602449946635,0.011232911566422777,1.6567152207263192,1.467277534675784,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.95,False,0.94,0.04930982382490638,0.010006694800155022,1.6707591787769969,1.477648072202423,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.95,True,0.92,0.04923891781147008,0.011232911566422777,1.6567152207263192,1.467277534675784,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.9,False,0.0,0.06993795589874738,0.15347152370108225,1.9933735415428915,1.6344498070427307,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.9,True,0.0,0.06974766121306378,0.08962925447476038,1.9625374204301658,1.642912272067501,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.95,False,0.0,0.0833362145225945,0.15347152370108225,1.9933735415428915,1.6344498070427307,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.95,True,0.0,0.08310946441895123,0.08962925447476038,1.9625374204301658,1.642912272067501,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.9,False,0.84,0.03477046525415805,0.00980255121555226,1.0936318545403032,0.9752601991470606,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.9,True,0.86,0.03476589854784296,0.009227874716762542,1.0883774496861216,0.9693908447489228,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.95,False,0.89,0.04143156479531641,0.00980255121555226,1.0936318545403032,0.9752601991470606,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.95,True,0.93,0.04142612322911326,0.009227874716762542,1.0883774496861216,0.9693908447489228,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp3,0.9,False,0.0,0.03627472064440453,0.6316795367533637,2.3058431372679435,1.6644837881054577,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp3,0.9,True,0.0,0.03648420793166297,0.6110007119820693,2.364071320754483,1.7088324600649871,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp3,0.95,False,0.0,0.043223995647596956,0.6316795367533637,2.3058431372679435,1.6644837881054577,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp3,0.95,True,0.0,0.04347361514657118,0.6110007119820693,2.364071320754483,1.7088324600649871,100
